piece,len,aveb,rng,hip,ata,ivv,harm,ins,tb,phist,ihist
Bonanza.mid,35.99996400000009,39.11115022226124,45,83,0.14285714285714285,"[6, 7, 6, 6, 8, 3]",G,"{'Glockenspiel', 'Brass', 'Piano', 'Trombone', 'Timpani', None, 'Horn', 'Acoustic Bass', 'StringInstrument', 'Marimba'}","[2, 4]","[211, 2, 350, 0, 298, 1, 8, 350, 0, 47, 0, 141]","[346, 0, 103, 73, 144, 62, 2, 74, 0, 83, 1, 1]"
Brady_Bunch.mid,67.14778322916665,13.954295360758834,53,77,0.2313479623824451,"[8, 8, 9, 8, 8, 4]",C,{'Brass'},"[4, 4]","[196, 1, 160, 0, 48, 31, 0, 130, 222, 53, 18, 78]","[100, 51, 35, 42, 61, 31, 47, 27, 74, 37, 3, 11]"
Buffy_The_Vampire_Slayer.mid,47.14999227499981,13.12831604276233,48,76,0.13920314805705852,"[6, 6, 7, 7, 7, 3]",D,"{'Electric Bass', 'Electric Organ', None, 'Piano'}","[4, 4]","[0, 3, 87, 18, 210, 0, 39, 70, 0, 24, 2, 166]","[193, 10, 49, 20, 26, 24, 1, 50, 9, 25, 1, 0]"
Charlie_Brown.mid,126.85351857291624,18.178447282678217,57,89,0.17191214990932904,"[12, 12, 12, 12, 12, 6]",C,"{'Fretless Bass', None, 'Piano'}","[4, 4]","[319, 127, 18, 356, 84, 190, 311, 42, 520, 82, 163, 94]","[586, 63, 87, 289, 87, 79, 53, 79, 76, 14, 47, 1]"
Cheers.mid,115.9375,5.382210242587601,47,83,0.2981839005235602,"[12, 12, 12, 12, 12, 6]",,{'Piano'},"[4, 4]","[72, 26, 144, 26, 39, 22, 40, 89, 30, 47, 11, 78]","[108, 18, 33, 9, 48, 55, 9, 33, 5, 34, 1, 6]"
Dallas.mid,119.1197916666657,25.923483887893173,60,96,0.14251497005988023,"[12, 12, 12, 12, 12, 6]",C,"{'Viola', 'Fretless Bass', None, 'Violin'}","[4, 4]","[249, 152, 228, 209, 290, 17, 824, 46, 193, 76, 300, 504]","[824, 77, 260, 108, 300, 210, 112, 76, 48, 27, 12, 2]"
Dawson's_Creek.mid,285.61791791666013,21.80185348811682,58,77,0.1997281059971553,"[6, 7, 6, 6, 8, 3]",G,"{'Piano', 'Electric Organ', None, 'Acoustic Bass', 'Piccolo'}","[4, 4]","[871, 0, 1274, 0, 529, 168, 942, 1012, 0, 608, 47, 776]","[876, 169, 448, 129, 597, 692, 137, 274, 3, 131, 7, 131]"
Dick_Van_Dyke.mid,40.615343999999915,14.575772151529758,60,84,0.19103972949281486,"[12, 12, 12, 12, 12, 6]",C,"{'Electric Bass', 'Saxophone', 'Trumpet', 'Piano', None, 'Marimba'}","[4, 4]","[73, 5, 72, 60, 84, 94, 18, 99, 16, 47, 11, 13]","[259, 55, 29, 48, 23, 9, 8, 6, 4, 4, 2, 1]"
Ed_Edd_N_Eddy.mid,28.417128999999896,35.68270390721046,72,103,0.14634341922377844,"[10, 10, 10, 10, 10, 5]",C,"{'Saxophone', 'Baritone Saxophone', 'Piano', 'Tuba', None, 'Horn', 'Whistle', 'Acoustic Bass'}","[4, 4]","[41, 7, 175, 0, 97, 12, 24, 334, 19, 52, 125, 128]","[290, 20, 90, 51, 61, 37, 30, 15, 8, 29, 0, 7]"
Emilio_Santiago_-_Dias_de_Lua.mid,163.47821999999988,0.7279257138963227,14,71,0.6798084008843035,"[10, 10, 10, 10, 10, 5]",C,{'Electric Guitar'},"[4, 4]","[1, 2, 14, 0, 28, 5, 36, 14, 5, 11, 1, 2]","[26, 12, 14, 8, 3, 3, 0, 1, 0, 0, 0, 0]"
ER.mid,61.262289999999965,11.279369413059818,55,95,0.15840572304547776,"[10, 10, 10, 10, 10, 5]",,"{'Electric Bass', 'Piano', 'Voice', None, 'Guitar'}","[3, 4]","[0, 39, 22, 7, 49, 10, 52, 8, 51, 358, 14, 81]","[212, 60, 46, 55, 11, 45, 2, 10, 20, 4, 0, 0]"
Frasier.mid,285.21699200001757,27.70872781660748,73,91,0.18374405534032592,"[12, 12, 12, 12, 12, 6]",,"{'Saxophone', 'Baritone Saxophone', 'Trumpet', 'Piano', 'Trombone', None, 'Violin', 'Acoustic Bass', 'Tenor Saxophone'}","[4, 4]","[477, 707, 936, 1226, 370, 769, 562, 543, 663, 323, 753, 574]","[1315, 346, 442, 322, 229, 336, 304, 233, 372, 242, 82, 20]"
Friends.mid,53.19581600000049,25.208749500148425,67,95,0.15366965064796562,"[12, 12, 12, 12, 12, 6]",A,"{'Organ', 'Electric Bass', None}","[4, 4]","[126, 83, 172, 4, 266, 1, 152, 82, 43, 205, 64, 143]","[212, 20, 78, 93, 65, 105, 47, 56, 37, 50, 7, 7]"
Get_Smart.mid,63.71122903124997,26.117844927835534,53,89,0.19276263909576802,"[12, 12, 12, 12, 12, 6]",C,"{'Saxophone', 'Brass', 'Timpani', None, 'Soprano Saxophone'}","[4, 4]","[263, 106, 93, 71, 79, 223, 78, 176, 243, 48, 149, 135]","[450, 33, 30, 100, 75, 154, 16, 23, 47, 58, 18, 28]"
Golden_Girls.mid,41.142815999999925,8.628480850703088,50,83,0.33699633699633696,"[4, 6, 5, 4, 7, 2]",C,"{'Flute', 'StringInstrument', 'Fretless Bass', None}","[4, 4]","[45, 20, 65, 0, 54, 0, 47, 23, 0, 63, 0, 38]","[34, 7, 15, 13, 16, 12, 10, 30, 13, 14, 0, 12]"
Growing_Pains.mid,142.56862199999958,8.39595686068989,35,71,0.2725675651695562,"[12, 12, 12, 12, 12, 6]",,"{'Pan Flute', 'Piano', 'Violin'}","[4, 4]","[208, 40, 107, 1, 149, 266, 186, 85, 18, 71, 20, 46]","[167, 125, 68, 49, 50, 66, 48, 32, 14, 17, 8, 14]"
Guy_Moon_-_Bunsen_is_a_beast.mid,150.00625000000002,1.1332861130786216,61,96,0.18902439024390244,"[10, 10, 10, 10, 10, 5]",,{None},"[4, 4]","[14, 3, 61, 14, 0, 4, 15, 8, 6, 21, 11, 13]","[24, 14, 10, 6, 6, 2, 4, 15, 8, 2, 1, 2]"
Happy_Days.mid,86.01874999999998,8.161011407396645,47,81,0.2505223880597015,"[12, 12, 12, 12, 12, 6]",C,"{None, 'Piano'}","[4, 4]","[122, 6, 93, 6, 74, 121, 4, 102, 5, 80, 75, 14]","[134, 5, 29, 54, 28, 92, 2, 32, 9, 30, 6, 0]"
Hawaii_50.mid,111.16559600000039,19.421476407143018,70,98,0.18373553788108402,"[12, 12, 12, 12, 12, 6]",C,"{'Brass', 'Trumpet', 'Piano', 'Trombone', None, 'Timpani', 'Horn', 'Acoustic Bass', 'Flute'}","[4, 4]","[191, 93, 353, 87, 102, 106, 183, 164, 63, 158, 326, 333]","[478, 126, 63, 75, 108, 82, 15, 83, 152, 52, 32, 28]"
Hogan's_Heroes.mid,133.49583333333268,19.08673803801626,69,96,0.19054441260744986,"[10, 10, 10, 10, 10, 5]",,"{'Trumpet', 'Piano', 'Tuba', 'Clarinet', 'Trombone', 'Piccolo'}","[4, 4]","[498, 0, 188, 63, 724, 292, 10, 460, 4, 147, 82, 80]","[408, 88, 125, 235, 167, 106, 48, 167, 37, 39, 8, 2]"
Home_Improvement.mid,95.82847560000062,16.122556373003498,60,91,0.1431893687707641,"[12, 12, 12, 12, 12, 6]",,"{'Electric Bass', None, 'Acoustic Bass', 'StringInstrument', 'Flute'}","[4, 4]","[126, 17, 254, 110, 194, 206, 79, 48, 67, 41, 51, 352]","[223, 17, 64, 77, 41, 70, 46, 57, 46, 102, 0, 70]"
I_Dream_Of_Jeannie.mid,54.354696458334026,24.689678858361752,78,101,0.11622396120357105,"[12, 12, 12, 12, 12, 6]",C,"{'Glockenspiel', 'Brass', 'Piano', None, 'Horn', 'Piccolo'}","[4, 4]","[253, 42, 180, 28, 179, 125, 6, 206, 12, 80, 61, 170]","[238, 22, 83, 60, 88, 72, 20, 87, 14, 43, 18, 34]"
I_Love_Lucy.mid,36.16430399999993,11.613661913692596,50,82,0.2602739726027397,"[12, 12, 12, 12, 12, 6]",,"{'Trumpet', 'Brass', 'Timpani', 'Horn', 'Acoustic Bass', 'StringInstrument'}","[4, 4]","[10, 54, 37, 53, 1, 46, 73, 10, 43, 10, 43, 40]","[58, 9, 17, 49, 25, 35, 8, 13, 13, 11, 8, 0]"
John_Murphy_-_The_Surface_Of_The_Sun.mid.mid,208.0000000000001,2.956730769230768,71,96,0.591715976331361,"[6, 7, 6, 6, 8, 3]",C,"{'Electric Bass', 'Trumpet', None, 'Piano'}","[4, 4]","[110, 97, 5, 81, 0, 36, 2, 26, 209, 0, 49, 0]","[42, 3, 20, 39, 8, 57, 0, 103, 61, 3, 1, 0]"
Looney_Tunes.mid,19.26171875,19.001419590346785,60,91,0.15064102564102563,"[12, 12, 12, 12, 12, 6]",C,"{'Brass', 'Piano', 'StringInstrument', 'Trombone', 'Acoustic Bass', 'Marimba', 'Flute'}","[4, 4]","[51, 4, 61, 5, 69, 20, 19, 53, 15, 17, 2, 50]","[76, 9, 41, 23, 31, 10, 7, 14, 2, 14, 1, 6]"
Lost_In_Space.mid,130.9919324999979,48.980115626587185,60,82,0.08879304774827163,"[12, 12, 12, 12, 12, 6]",,{None},"[4, 4]","[386, 48, 814, 376, 20, 203, 2835, 42, 337, 398, 948, 9]","[2004, 128, 459, 485, 607, 51, 44, 4, 458, 4, 2, 0]"
Love_Boat.mid,172.5244140625,50.06827611581242,79,99,0.11775362318840579,"[12, 12, 12, 12, 12, 6]",,"{'Electric Bass', 'Harp', 'Brass', 'Piano', 'Voice', 'Electric Organ', None, 'Guitar', 'StringInstrument', 'Piccolo'}","[4, 4]","[743, 613, 352, 979, 607, 636, 1914, 148, 924, 31, 1588, 103]","[1603, 269, 701, 506, 652, 386, 333, 303, 208, 86, 185, 0]"
Mad_About_You.mid,38.8170000000003,28.054718293530968,48,77,0.13287197231833908,"[8, 9, 8, 8, 8, 4]",C,"{'Saxophone', 'Trombone', 'Fretless Bass', None}","[4, 4]","[326, 93, 210, 48, 90, 90, 0, 70, 0, 72, 25, 65]","[99, 41, 165, 66, 73, 37, 9, 27, 7, 54, 6, 22]"
Married_With_Children.mid,79.50000000000001,5.522012578616351,48,84,0.3969849246231156,"[12, 12, 12, 12, 12, 6]",C,{None},"[4, 4]","[89, 7, 31, 25, 53, 46, 17, 71, 26, 33, 6, 35]","[28, 16, 28, 25, 16, 18, 26, 29, 9, 14, 0, 8]"
Mash.mid,53.22731708333321,10.840298395965423,74,107,0.31986531986531985,"[8, 8, 9, 8, 8, 4]",D,"{'Electric Bass', 'Trumpet', 'Brass', 'Piano', 'Trombone', None, 'Flute'}","[2, 4]","[41, 63, 73, 1, 58, 0, 124, 26, 0, 98, 3, 90]","[100, 11, 31, 26, 25, 33, 20, 23, 22, 30, 13, 2]"
Melrose_Place.mid,95.86430000000162,48.026220396956134,84,108,0.1359949780288763,"[12, 12, 12, 12, 12, 6]",C,"{'Fretless Bass', None, 'Piano'}","[4, 4]","[513, 300, 197, 179, 615, 373, 598, 520, 27, 294, 526, 462]","[277, 260, 183, 160, 692, 421, 69, 287, 35, 42, 106, 9]"
Pokemon.mid,62.53518000000001,31.63019599527817,58,84,0.17191977077363896,"[10, 10, 10, 10, 10, 5]",C,"{'Flute', None, 'Piano'}","[4, 8]","[133, 19, 408, 107, 40, 277, 150, 227, 0, 195, 321, 101]","[314, 64, 83, 208, 190, 131, 20, 64, 75, 30, 26, 9]"
Power_Rangers.mid,63.66660299999954,29.87437542411386,57,83,0.13537117903930132,"[12, 12, 12, 12, 12, 6]",,{None},"[4, 4]","[449, 21, 190, 100, 394, 154, 60, 169, 4, 136, 40, 185]","[491, 18, 68, 69, 132, 137, 21, 183, 1, 38, 0, 24]"
Rugrats.mid,47.35291750000068,22.575166567086065,79,103,0.16118903077245134,"[8, 8, 8, 8, 9, 4]",,{'Pan Flute'},"[9, 8]","[214, 123, 75, 0, 112, 101, 144, 142, 0, 66, 48, 44]","[154, 52, 24, 49, 75, 98, 70, 23, 10, 30, 15, 5]"
Saturday_Night_Live_-_David_S._Pumpkins.mid,298.96529799999945,27.46138115334046,51,79,0.14281113753468094,"[10, 10, 10, 10, 10, 5]",,"{None, 'Piano'}","[4, 4]","[1368, 972, 72, 72, 900, 0, 540, 1512, 612, 1910, 108, 144]","[1730, 683, 396, 216, 252, 72, 144, 72, 180, 756, 36, 0]"
Seinfeld.mid,41.186322449999935,15.879057927396987,63,94,0.1649560117302053,"[12, 12, 12, 12, 12, 6]",C,"{'Baritone Saxophone', 'Trumpet', 'Brass', 'Piano', None, 'Horn', 'Tenor Saxophone'}","[4, 4]","[43, 72, 51, 4, 27, 29, 4, 89, 4, 224, 53, 54]","[98, 23, 38, 10, 48, 40, 26, 41, 36, 16, 10, 0]"
South_Park.mid,71.555484,8.301250537275381,50,77,0.1761006289308176,"[12, 12, 12, 12, 12, 6]",D,"{'Electric Bass', 'Piano', 'Tuba', None, 'Acoustic Bass'}","[4, 4]","[123, 115, 7, 19, 33, 4, 180, 1, 20, 86, 1, 5]","[95, 47, 8, 22, 13, 78, 58, 2, 5, 24, 0, 4]"
Star_Trek.mid,59.75355931666621,13.388323794409805,75,97,0.2211021505376344,"[12, 12, 12, 12, 12, 6]",C,"{'Harp', 'Trumpet', 'Piano', 'Voice', 'Clarinet', 'Trombone', None, 'Horn', 'Acoustic Bass', 'Piccolo'}","[4, 4]","[36, 35, 55, 108, 9, 90, 109, 47, 24, 37, 163, 87]","[182, 50, 21, 41, 40, 50, 18, 26, 42, 9, 8, 4]"
